Book_ID,Title,Authors,Total_Pages,No. of Reviews,Average_Rating,No. of Ratings,ISBN,ISBN13,Language,Genres
33574273,A Wrinkle in Time,Madeleine L'Engle,218,35906,3.99,1112701,1250153271,9.78E+12,English,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Childrens', 'Middle Grade', 'Science Fiction', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']"
231804,The Outsiders,S.E. Hinton,192,37895,4.11,1093126,,,English,"['Classics', 'Young Adult', 'Fiction', 'Academic', 'School', 'Academic', 'Read For School', 'Realistic Fiction', 'Young Adult', 'Coming Of Age', 'Historical', 'Historical Fiction', 'Contemporary', 'Young Adult', 'Teen']"
2956,The Adventures of Huckleberry Finn,Mark Twain,327,17071,3.82,1203054,142437174,9.78E+12,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'Academic', 'School', 'Novels', 'Academic', 'Read For School', 'Literature', 'American']"
1381,The Odyssey,Homer,541,14685,3.79,946143,143039954,9.78E+12,English,"['Classics', 'Fiction', 'Poetry', 'Fantasy', 'Mythology', 'Fantasy', 'Academic', 'School', 'Literature', 'Adventure', 'Academic', 'Read For School', 'Historical', 'Historical Fiction']"
12232938,The Lovely Bones,Alice Sebold,372,42560,3.83,2165619,316166685,9.78E+12,English,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Mystery', 'Crime', 'Thriller', 'Adult Fiction', 'Adult', 'Drama']"
19543,Where the Wild Things Are,Maurice Sendak,38,12726,4.22,905769,99408392,9.78E+12,English,"['Childrens', 'Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Folklore', 'Monsters']"
23772,Green Eggs and Ham,Dr. Seuss,64,10276,4.3,691263,394800168,9.78E+12,English,"['Childrens', 'Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Kids', 'Food and Drink', 'Food', 'Young Adult']"
4214,Life of Pi,Yann Martel,460,49276,3.92,1462570,770430074,9.78E+12,English,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Magical Realism', 'Literature', 'Cultural', 'India', 'Philosophy']"
1953,A Tale of Two Cities,Charles Dickens,489,19641,3.86,868562,141439602,9.78E+12,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Academic', 'School', 'Classics', 'Classic Literature', 'Literature', '19th Century', 'European Literature', 'British Literature']"
77203,The Kite Runner,Khaled Hosseini,371,82693,4.32,2719976,,,English,"['Fiction', 'Historical', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Adult', 'Literature', 'Adult Fiction', 'Drama']"
43641,Water for Elephants,Sara Gruen,335,60123,4.1,1485151,1565125606,9.78E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Audiobook']"
7604,Lolita,Vladimir Nabokov,331,29300,3.88,731660,,,English,"['Classics', 'Fiction', 'Literature', 'Novels', 'Cultural', 'Russia', 'Romance', 'Literature', 'Russian Literature', 'Literary Fiction', 'Literature', '20th Century', 'Adult']"
35031085,Frankenstein,Mary Wollstonecraft Shelley,260,42134,3.83,1318823,,,English,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'Academic', 'School', 'Literature', 'Novels', 'Academic', 'Read For School']"
38447,The Handmaid's Tale,Margaret Atwood,314,80161,4.12,1701876,,,English,"['Fiction', 'Classics', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']"
3636,The Giver,Lois Lowry,208,70124,4.13,2063133,385732554,9.78E+12,English,"['Young Adult', 'Fiction', 'Classics', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Fantasy', 'Academic', 'School', 'Childrens', 'Childrens', 'Middle Grade', 'Academic', 'Read For School']"
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,275,31097,4.08,1226002,385333846,9.78E+12,English,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical', 'Historical Fiction', 'Literature', 'Novels', 'Science Fiction', 'Time Travel', 'Literature', 'American', 'Fantasy']"
1934,Little Women,Louisa May Alcott,449,37887,4.12,1901356,451529308,9.78E+12,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classics', 'Classic Literature', 'Audiobook']"
136251,Harry Potter and the Deathly Hallows,J.K. Rowling,759,73064,4.62,3188951,,,English,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']"
44767458,Dune,Frank Herbert,658,42689,4.25,1029759,059309932X,9.78E+12,English,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Space', 'Space Opera', 'Novels', 'Adventure', 'Adult']"
40961427,1984,George Orwell,298,85602,4.19,3722466,,,English,"['Classics', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'Academic', 'School', 'Fantasy', 'Adult']"
168668,Catch-22,Joseph Heller,453,20151,3.98,771706,684833395,9.78E+12,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels', 'Literature', 'American', 'Unfinished', 'Historical']"
149267,The Stand,Stephen King,1152,24537,4.34,681071,385199570,9.78E+12,English,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Thriller', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Apocalyptic', 'Audiobook', 'Classics']"
5043,The Pillars of the Earth,Ken Follett,976,33773,4.32,697460,,,English,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Historical', 'Medieval', 'Audiobook', 'Novels', 'European Literature', 'British Literature', 'Adult']"
3590,The Adventures of Sherlock Holmes,Arthur Conan Doyle,389,7683,4.3,268312,,,English,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Mystery', 'Crime', 'Mystery', 'Detective', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Literature', 'Historical', 'Historical Fiction']"
76620,Watership Down,Richard  Adams,478,15066,4.07,454785,038039586X,9.78E+12,English,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']"
6514,The Bell Jar,Sylvia Plath,294,31279,4.03,698553,,,English,"['Classics', 'Fiction', 'Feminism', 'Health', 'Mental Health', 'Psychology', 'Literature', 'Mental Health', 'Mental Illness', 'Novels', 'Poetry', 'Literary Fiction']"
39988,Matilda,Roald Dahl,240,19104,4.33,776703,141301066,9.78E+12,English,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade', 'Young Adult', 'Humor', 'Audiobook', 'Fantasy', 'Magic', 'Novels']"
2623,Great Expectations,Charles Dickens,544,18323,3.79,715674,192833596,9.78E+12,English,"['Classics', 'Fiction', 'Literature', 'Historical', 'Historical Fiction', 'Academic', 'School', 'Novels', 'Literature', '19th Century', 'Classics', 'Classic Literature', 'European Literature', 'British Literature', 'Historical', 'Victorian']"
3263607,The Fellowship of the Ring,J.R.R. Tolkien,527,28221,4.37,2546619,,9.78E+12,English,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Young Adult', 'Audiobook', 'Novels']"
15823480,Anna Karenina,Leo Tolstoy,964,28273,4.07,741065,,,English,"['Classics', 'Fiction', 'Romance', 'Cultural', 'Russia', 'Historical', 'Historical Fiction', 'Literature', 'Russian Literature', 'Literature', 'Novels', 'Literature', '19th Century', 'Historical']"
10964,Outlander,Diana Gabaldon,850,48922,4.24,923307,440242940,9.78E+12,English,"['Historical', 'Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Science Fiction', 'Time Travel', 'Historical', 'Romance', 'Historical Romance', 'Adult', 'Audiobook', 'Cultural', 'Scotland']"
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,325,12782,4.2,673681,,,English,"['Classics', 'Fiction', 'Psychology', 'Literature', 'Novels', 'Health', 'Mental Health', 'Academic', 'School', 'Literature', 'American', 'Mental Health', 'Mental Illness', 'Literary Fiction']"
2429135,The Girl with the Dragon Tattoo,Stieg Larsson,480,71807,4.15,2867107,,,English,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels']"
17899948,Rebecca,Daphne du Maurier,449,30670,4.24,530567,316323705,9.78E+12,English,"['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Historical', 'Historical Fiction', 'Thriller', 'Thriller', 'Mystery Thriller', 'Horror', 'Suspense']"
10917,My Sister's Keeper,Jodi Picoult,423,34676,4.09,1125175,743454537,9.78E+12,English,"['Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Family', 'Novels']"
5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,435,65996,4.58,3355680,043965548X,9.78E+12,English,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']"
52892857,The Color Purple,Alice Walker,304,18556,4.24,584943,143135694,9.78E+12,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Feminism', 'LGBT', 'Historical', 'Cultural', 'African American', 'Literature', 'Novels', 'LGBT', 'Queer']"
14891,A Tree Grows in Brooklyn,Betty  Smith,496,22888,4.28,418221,61120073,9.78E+12,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Young Adult', 'Young Adult', 'Coming Of Age', 'Historical', 'Literature', 'Novels', 'New York', 'Book Club']"
4934,The Brothers Karamazov,Fyodor Dostoevsky,796,13357,4.34,273349,374528373,9.78E+12,English,"['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', 'Literature', '19th Century', 'Classics', 'Classic Literature', 'Religion']"
41817486,A Clockwork Orange,Anthony Burgess,213,16097,4,649634,393341763,9.78E+12,English,"['Classics', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Horror', 'Novels', 'Classics', 'Modern Classics', 'Mystery', 'Crime', 'European Literature', 'British Literature']"
6288,The Road,Cormac McCarthy,241,49312,3.97,786223,307265439,9.78E+12,English,"['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels', 'Science Fiction', 'Apocalyptic', 'Contemporary']"
252577,Angela's Ashes,Frank McCourt,452,12821,4.13,582212,7205236,9.78E+12,English,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Classics', 'Cultural', 'Ireland', 'Biography', 'Autobiography', 'Biography Memoir', 'History', 'European Literature', 'Irish Literature', 'Historical']"
345627,Vampire Academy,Richelle Mead,332,23719,4.11,600287,159514174X,9.78E+12,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Fiction', 'Fantasy', 'Supernatural', 'Romance', 'Paranormal Romance', 'Fantasy', 'Magic']"
52036,Siddhartha,Hermann Hesse,152,20944,4.05,660098,,,English,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Religion', 'Buddhism', 'European Literature', 'German Literature', 'Novels', 'Historical', 'Historical Fiction']"
119322,The Golden Compass,Philip Pullman,399,24863,4,1395648,679879242,9.78E+12,English,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Childrens', 'Middle Grade', 'Science Fiction Fantasy', 'Classics', 'Science Fiction', 'Steampunk']"
7244,The Poisonwood Bible,Barbara Kingsolver,546,24524,4.08,692260,60786507,9.78E+12,English,"['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Novels', 'Literature', 'Religion', 'Adult Fiction']"
3836,Don Quixote,Miguel de Cervantes Saavedra,1023,9593,3.88,235137,142437239,9.78E+12,English,"['Classics', 'Fiction', 'Literature', 'European Literature', 'Spanish Literature', 'Adventure', 'Novels', 'Historical', 'Historical Fiction', 'Cultural', 'Spain', 'Humor', 'Classics', 'Classic Literature']"
662,Atlas Shrugged,Ayn Rand,1078,18501,3.69,370167,452011876,9.78E+12,English,"['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels', 'Science Fiction', 'Dystopia', 'Economics', 'Business']"
2165,The Old Man and the Sea,Ernest Hemingway,96,30022,3.79,956441,684830493,9.78E+12,English,"['Classics', 'Fiction', 'Literature', 'Novels', 'Literature', 'American', 'Academic', 'School', 'Adventure', 'Literary Fiction', 'Classics', 'Classic Literature', 'Literature', '20th Century']"
33648131,The Notebook,Nicholas Sparks,227,21646,4.12,1477138,,B000Q67J66,English,"['Romance', 'Fiction', 'Womens Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Romance', 'Contemporary Romance', 'Classics', 'Love', 'Drama']"
99107,Winnie-the-Pooh,A.A. Milne,161,5598,4.33,298534,525467564,9.78E+12,English,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Childrens', 'Picture Books', 'Young Adult', 'Audiobook', 'Childrens', 'Middle Grade', 'Childrens', 'Juvenile']"
